window_index,accel_mag_max,accel_mag_p95,gyro_mag_max,gyro_mag_p95,jerk_abs_max,jerk_abs_p95,anomaly_score,is_abnormal
7.100000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.200000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.300000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.400000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.500000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.600000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.700000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.800000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
7.900000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.000000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.100000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.200000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.300000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.400000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.500000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.600000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.700000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.800000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
8.900000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.000000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
9.100000000000000000e+01,1.018515682220458984e+01,1.018515682220458984e+01,2.995730340480804443e-01,2.995730340480804443e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.559728020662352943e-01,0.000000000000000000e+00
